2026-03-07 14:39:24 | INFO    | Starting YouTube Automation Tool on http://localhost:5001
2026-03-07 14:48:56 | INFO    | [BULK bf6f045b] ── Item 7/15 DONE ── 'Toxic vs. Healthy Love: The Shocking Differences You Miss [Warning]' | 11 scenes | 111.9s
2026-03-07 14:48:56 | INFO    | [BULK bf6f045b] ── Item 8/15 START ── 'The SECRET Psychology of Unstoppable Attraction (Works Every Time)'
2026-03-07 14:48:56 | INFO    | [GEN] Calling gemini-2.5-flash | key=...0tZk | cycle 1/4 | keys_ok=1/1
2026-03-07 14:50:25 | INFO    | [GEN] SUCCESS — 10 scenes | key=...0tZk | cycle 1 | latency=88.5s
2026-03-07 14:50:25 | INFO    | [BULK bf6f045b] ── Item 8/15 DONE ── 'The SECRET Psychology of Unstoppable Attraction (Works Every Time)' | 10 scenes | 88.5s
2026-03-07 14:50:25 | INFO    | [BULK bf6f045b] ── Item 9/15 START ── 'Stop Pushing Love Away: Fix Your Anxious Attachment NOW! [Healing]'
2026-03-07 14:50:25 | INFO    | [GEN] Calling gemini-2.5-flash | key=...0tZk | cycle 1/4 | keys_ok=1/1
2026-03-07 14:52:29 | INFO    | [GEN] SUCCESS — 10 scenes | key=...0tZk | cycle 1 | latency=123.9s
2026-03-07 14:52:29 | INFO    | [BULK bf6f045b] ── Item 9/15 DONE ── 'Stop Pushing Love Away: Fix Your Anxious Attachment NOW! [Healing]' | 10 scenes | 123.9s
2026-03-07 14:52:29 | INFO    | [BULK bf6f045b] ── Item 10/15 START ── '3 Powerful Communication Hacks 99% of Couples Don't Know'
2026-03-07 14:52:29 | INFO    | [GEN] Calling gemini-2.5-flash | key=...0tZk | cycle 1/4 | keys_ok=1/1
2026-03-07 14:54:32 | INFO    | [GEN] SUCCESS — 10 scenes | key=...0tZk | cycle 1 | latency=123.3s
2026-03-07 14:54:32 | INFO    | [BULK bf6f045b] ── Item 10/15 DONE ── '3 Powerful Communication Hacks 99% of Couples Don't Know' | 10 scenes | 123.3s
2026-03-07 14:54:32 | INFO    | [BULK bf6f045b] ── Item 11/15 START ── 'This Is Why You Attract The WRONG People [Psychology Explained]'
2026-03-07 14:54:32 | INFO    | [GEN] Calling gemini-2.5-flash | key=...0tZk | cycle 1/4 | keys_ok=1/1
2026-03-07 14:56:44 | INFO    | [GEN] SUCCESS — 10 scenes | key=...0tZk | cycle 1 | latency=132.2s
2026-03-07 14:56:44 | INFO    | [BULK bf6f045b] ── Item 11/15 DONE ── 'This Is Why You Attract The WRONG People [Psychology Explained]' | 10 scenes | 132.2s
2026-03-07 14:56:44 | INFO    | [BULK bf6f045b] ── Item 12/15 START ── 'The Dark Psychology of Manipulation & How To Spot It [Forbidden]'
2026-03-07 14:56:44 | INFO    | [GEN] Calling gemini-2.5-flash | key=...0tZk | cycle 1/4 | keys_ok=1/1
2026-03-07 17:38:54 | INFO    | Starting YouTube Automation Tool on http://localhost:5001
2026-03-07 19:20:07 | INFO    | Starting YouTube Automation Tool on http://localhost:5001
